"time" "n_samples" "n_cells" "surv" "CL" "zt" "er" "b"
"86" 312 486 436 "one_step_00" "0.8/0.9" "2500" "50" "90"
"87" 324 486 436 "one_step_00" "0.8/0.9" "2500" "50" "90"
"88" 336 486 439 "one_step_00" "0.8/0.9" "2500" "50" "90"
"89" 348 486 427 "one_step_00" "0.8/0.9" "2500" "50" "90"
"90" 360 486 425 "one_step_00" "0.8/0.9" "2500" "50" "90"
"91" 12 200 194 "one_step_00" "0.8/0.9" "2500" "100" "0"
"92" 24 473 237 "one_step_00" "0.8/0.9" "2500" "100" "0"
"93" 36 486 417 "one_step_00" "0.8/0.9" "2500" "100" "0"
"94" 48 486 444 "one_step_00" "0.8/0.9" "2500" "100" "0"
"95" 60 486 449 "one_step_00" "0.8/0.9" "2500" "100" "0"
"96" 72 486 442 "one_step_00" "0.8/0.9" "2500" "100" "0"
"97" 84 486 447 "one_step_00" "0.8/0.9" "2500" "100" "0"
"98" 96 486 440 "one_step_00" "0.8/0.9" "2500" "100" "0"
"99" 108 486 433 "one_step_00" "0.8/0.9" "2500" "100" "0"
"100" 120 486 435 "one_step_00" "0.8/0.9" "2500" "100" "0"
"101" 132 486 420 "one_step_00" "0.8/0.9" "2500" "100" "0"
"102" 144 486 433 "one_step_00" "0.8/0.9" "2500" "100" "0"
"103" 156 486 425 "one_step_00" "0.8/0.9" "2500" "100" "0"
"104" 168 486 443 "one_step_00" "0.8/0.9" "2500" "100" "0"
"105" 180 486 429 "one_step_00" "0.8/0.9" "2500" "100" "0"
"106" 192 486 422 "one_step_00" "0.8/0.9" "2500" "100" "0"
"107" 204 486 416 "one_step_00" "0.8/0.9" "2500" "100" "0"
"108" 216 485 403 "one_step_00" "0.8/0.9" "2500" "100" "0"
"109" 228 485 391 "one_step_00" "0.8/0.9" "2500" "100" "0"
"110" 240 485 401 "one_step_00" "0.8/0.9" "2500" "100" "0"
"111" 252 485 395 "one_step_00" "0.8/0.9" "2500" "100" "0"
"112" 264 485 397 "one_step_00" "0.8/0.9" "2500" "100" "0"
"113" 276 486 375 "one_step_00" "0.8/0.9" "2500" "100" "0"
"114" 288 486 383 "one_step_00" "0.8/0.9" "2500" "100" "0"
"115" 300 484 358 "one_step_00" "0.8/0.9" "2500" "100" "0"
"116" 312 484 358 "one_step_00" "0.8/0.9" "2500" "100" "0"
"117" 324 484 339 "one_step_00" "0.8/0.9" "2500" "100" "0"
"118" 336 483 324 "one_step_00" "0.8/0.9" "2500" "100" "0"
"119" 348 483 305 "one_step_00" "0.8/0.9" "2500" "100" "0"
